layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,32,48383
input_layernorm,1,0,32,109840
q_proj,1,0,32,69632
k_proj,1,0,32,53263
v_proj,1,0,32,50175
rope,1,0,32,139775
o_proj,1,0,32,58368
post_layernorm,1,0,32,110592
gate_proj,1,0,32,58368
up_proj,1,0,32,51376
act_fn,1,0,32,40911
down_proj,1,0,32,56320
final_layernorm,1,0,32,107519
lm_head,1,0,32,167840
embedding,2,0,32,47104
input_layernorm,2,0,32,107599
q_proj,2,0,32,66560
k_proj,2,0,32,58368
v_proj,2,0,32,55296
rope,2,0,32,138239
o_proj,2,0,32,57360
post_layernorm,2,0,32,109391
gate_proj,2,0,32,65616
up_proj,2,0,32,57344
act_fn,2,0,32,36864
down_proj,2,0,32,56320
final_layernorm,2,0,32,106303
lm_head,2,0,32,167935
embedding,3,0,32,47104
input_layernorm,3,0,32,108031
q_proj,3,0,32,66560
k_proj,3,0,32,58368
v_proj,3,0,32,55456
rope,3,0,32,140175
o_proj,3,0,32,57344
post_layernorm,3,0,32,108351
gate_proj,3,0,32,66560
up_proj,3,0,32,57344
act_fn,3,0,32,36127
down_proj,3,0,32,57344
final_layernorm,3,0,32,106495
lm_head,3,0,32,167935
embedding,4,0,32,47104
input_layernorm,4,0,32,108543
q_proj,4,0,32,67311
k_proj,4,0,32,59216
v_proj,4,0,32,56223
rope,4,0,32,140287
o_proj,4,0,32,57360
post_layernorm,4,0,32,107519
gate_proj,4,0,32,66560
up_proj,4,0,32,57344
act_fn,4,0,32,35840
down_proj,4,0,32,57344
final_layernorm,4,0,32,106495
lm_head,4,0,32,168080
embedding,5,0,32,47104
input_layernorm,5,0,32,108640
q_proj,5,0,32,66768
k_proj,5,0,32,55296
v_proj,5,0,32,54207
rope,5,0,32,140287
o_proj,5,0,32,58368
post_layernorm,5,0,32,109055
gate_proj,5,0,32,67487
up_proj,5,0,32,57344
act_fn,5,0,32,36864
down_proj,5,0,32,57344
final_layernorm,5,0,32,106511
lm_head,5,0,32,168960
embedding,6,0,32,47104
input_layernorm,6,0,32,108527
q_proj,6,0,32,66848
k_proj,6,0,32,55360
v_proj,6,0,32,54207
rope,6,0,32,141248
o_proj,6,0,32,58368
post_layernorm,6,0,32,108543
gate_proj,6,0,32,67407
up_proj,6,0,32,57344
act_fn,6,0,32,36095
down_proj,6,0,32,57344
final_layernorm,6,0,32,106495
lm_head,6,0,32,169760
embedding,7,0,32,47263
input_layernorm,7,0,32,108543
q_proj,7,0,32,67584
k_proj,7,0,32,55536
v_proj,7,0,32,54239
rope,7,0,32,140287
o_proj,7,0,32,58384
post_layernorm,7,0,32,108640
gate_proj,7,0,32,67584
up_proj,7,0,32,57344
act_fn,7,0,32,36864
down_proj,7,0,32,57455
final_layernorm,7,0,32,107519
lm_head,7,0,32,169968
embedding,8,0,32,47104
input_layernorm,8,0,32,108543
q_proj,8,0,32,66800
k_proj,8,0,32,55472
v_proj,8,0,32,54127
rope,8,0,32,139264
o_proj,8,0,32,57855
post_layernorm,8,0,32,108543
gate_proj,8,0,32,67696
up_proj,8,0,32,56320
act_fn,8,0,32,36095
down_proj,8,0,32,57231
final_layernorm,8,0,32,106527
lm_head,8,0,32,168960
embedding,9,0,32,47104
input_layernorm,9,0,32,109471
q_proj,9,0,32,66592
k_proj,9,0,32,55296
v_proj,9,0,32,53247
rope,9,0,32,140287
o_proj,9,0,32,58368
post_layernorm,9,0,32,109455
gate_proj,9,0,32,67584
up_proj,9,0,32,56320
act_fn,9,0,32,36864
down_proj,9,0,32,57344
final_layernorm,9,0,32,107519
lm_head,9,0,32,169840
embedding,10,0,32,47279
input_layernorm,10,0,32,108543
q_proj,10,0,32,67375
k_proj,10,0,32,55424
v_proj,10,0,32,54175
rope,10,0,32,141120
o_proj,10,0,32,58368
post_layernorm,10,0,32,108543
gate_proj,10,0,32,67967
up_proj,10,0,32,57344
act_fn,10,0,32,36864
down_proj,10,0,32,57344
final_layernorm,10,0,32,107455
lm_head,10,0,32,169983
