timestamp,index,utilization.gpu,power.draw,memory.used
2026/06/19 10:01:40.488, 0, 0, 14.74, 0
2026/06/19 10:01:40.497, 1, 0, 15.37, 0
2026/06/19 10:01:40.507, 2, 0, 15.36, 0
2026/06/19 10:01:40.516, 3, 0, 15.07, 0
2026/06/19 10:01:40.526, 4, 0, 77.10, 0
2026/06/19 10:01:40.530, 5, 0, 79.48, 0
2026/06/19 10:01:40.533, 6, 0, 78.90, 0
2026/06/19 10:01:40.537, 7, 0, 81.65, 0
2026/06/19 10:01:41.540, 0, 0, 20.90, 3
2026/06/19 10:01:41.549, 1, 0, 28.78, 3
2026/06/19 10:01:41.557, 2, 0, 27.33, 3
2026/06/19 10:01:41.565, 3, 0, 28.22, 3
2026/06/19 10:01:41.574, 4, 0, 47.57, 0
2026/06/19 10:01:41.583, 5, 0, 79.90, 0
2026/06/19 10:01:41.586, 6, 0, 76.28, 0
2026/06/19 10:01:41.591, 7, 0, 78.71, 0
2026/06/19 10:01:42.594, 0, 0, 61.15, 0
2026/06/19 10:01:42.598, 1, 0, 22.89, 0
2026/06/19 10:01:42.605, 2, 0, 24.72, 0
2026/06/19 10:01:42.612, 3, 0, 24.48, 0
2026/06/19 10:01:42.620, 4, 0, 26.72, 0
2026/06/19 10:01:42.627, 5, 0, 80.11, 0
2026/06/19 10:01:42.630, 6, 0, 77.22, 0
2026/06/19 10:01:42.633, 7, 0, 79.17, 0
2026/06/19 10:01:43.636, 0, 0, 79.53, 3
2026/06/19 10:01:43.648, 1, 0, 29.24, 3
2026/06/19 10:01:43.656, 2, 0, 30.73, 3
2026/06/19 10:01:43.664, 3, 0, 27.85, 3
2026/06/19 10:01:43.671, 4, 0, 27.35, 3
2026/06/19 10:01:43.678, 5, 0, 61.42, 3
2026/06/19 10:01:43.685, 6, 0, 76.58, 3
2026/06/19 10:01:43.689, 7, 0, 79.35, 3
2026/06/19 10:01:44.693, 0, 0, 67.42, 0
2026/06/19 10:01:44.700, 1, 0, 31.46, 0
2026/06/19 10:01:44.708, 2, 0, 33.55, 0
2026/06/19 10:01:44.715, 3, 0, 31.87, 0
2026/06/19 10:01:44.723, 4, 0, 31.40, 0
2026/06/19 10:01:44.730, 5, 0, 26.44, 0
2026/06/19 10:01:44.738, 6, 0, 76.99, 0
2026/06/19 10:01:44.742, 7, 0, 78.78, 0
2026/06/19 10:01:45.745, 0, 0, 25.14, 0
2026/06/19 10:01:45.752, 1, 0, 24.77, 0
2026/06/19 10:01:45.759, 2, 0, 33.56, 0
2026/06/19 10:01:45.766, 3, 0, 31.88, 0
2026/06/19 10:01:45.773, 4, 0, 31.40, 0
2026/06/19 10:01:45.780, 5, 0, 25.24, 0
2026/06/19 10:01:45.792, 6, 0, 76.51, 0
2026/06/19 10:01:45.794, 7, 0, 78.57, 0
2026/06/19 10:01:46.797, 0, 0, 24.40, 0
2026/06/19 10:01:46.804, 1, 0, 24.15, 0
2026/06/19 10:01:46.811, 2, 0, 24.63, 0
2026/06/19 10:01:46.818, 3, 0, 25.08, 0
2026/06/19 10:01:46.825, 4, 0, 24.66, 0
2026/06/19 10:01:46.832, 5, 0, 15.75, 0
2026/06/19 10:01:46.844, 6, 0, 76.55, 0
2026/06/19 10:01:46.846, 7, 0, 78.68, 0
2026/06/19 10:01:47.849, 0, 0, 24.36, 0
2026/06/19 10:01:47.856, 1, 0, 24.16, 0
2026/06/19 10:01:47.863, 2, 0, 24.59, 0
2026/06/19 10:01:47.870, 3, 0, 24.45, 0
2026/06/19 10:01:47.877, 4, 0, 23.82, 0
2026/06/19 10:01:47.884, 5, 0, 14.98, 0
2026/06/19 10:01:47.894, 6, 0, 76.52, 0
2026/06/19 10:01:47.901, 7, 0, 78.85, 0
2026/06/19 10:01:48.904, 0, 0, 24.36, 0
2026/06/19 10:01:48.911, 1, 0, 24.16, 0
2026/06/19 10:01:48.918, 2, 0, 24.65, 0
2026/06/19 10:01:48.924, 3, 0, 24.31, 0
2026/06/19 10:01:48.931, 4, 0, 23.82, 0
2026/06/19 10:01:48.938, 5, 0, 17.00, 0
2026/06/19 10:01:48.948, 6, 0, 14.75, 0
2026/06/19 10:01:48.955, 7, 0, 78.89, 0
2026/06/19 10:01:49.958, 0, 0, 24.41, 0
2026/06/19 10:01:49.965, 1, 0, 24.26, 0
2026/06/19 10:01:49.972, 2, 0, 24.70, 0
2026/06/19 10:01:49.979, 3, 0, 24.22, 0
2026/06/19 10:01:49.985, 4, 0, 23.82, 0
2026/06/19 10:01:49.992, 5, 0, 15.09, 0
2026/06/19 10:01:50.002, 6, 0, 15.63, 0
2026/06/19 10:01:50.009, 7, 0, 78.96, 0
2026/06/19 10:01:51.016, 0, 0, 24.32, 0
