layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,8,64335
input_layernorm,1,0,8,139264
q_proj,1,0,8,58425
k_proj,1,0,8,85059
v_proj,1,0,8,62013
rope,1,0,8,185960
o_proj,1,0,8,36313
post_layernorm,1,0,8,137216
gate_proj,1,0,8,56250
up_proj,1,0,8,33261
act_fn,1,0,8,6732
down_proj,1,0,8,29656
final_layernorm,1,0,8,73728
lm_head,1,0,8,383235
embedding,2,0,8,64511
input_layernorm,2,0,8,139296
q_proj,2,0,8,60381
k_proj,2,0,8,92313
v_proj,2,0,8,67203
rope,2,0,8,188502
o_proj,2,0,8,35319
post_layernorm,2,0,8,137743
gate_proj,2,0,8,61842
up_proj,2,0,8,36370
act_fn,2,0,8,6732
down_proj,2,0,8,30206
final_layernorm,2,0,8,69632
lm_head,2,0,8,384364
embedding,3,0,8,63599
input_layernorm,3,0,8,140303
q_proj,3,0,8,60177
k_proj,3,0,8,92313
v_proj,3,0,8,67015
rope,3,0,8,187981
o_proj,3,0,8,35319
post_layernorm,3,0,8,137791
gate_proj,3,0,8,61842
up_proj,3,0,8,36370
act_fn,3,0,8,5770
down_proj,3,0,8,30206
final_layernorm,3,0,8,71168
lm_head,3,0,8,385414
embedding,4,0,8,64415
input_layernorm,4,0,8,140239
q_proj,4,0,8,60156
k_proj,4,0,8,92313
v_proj,4,0,8,67891
rope,4,0,8,187981
o_proj,4,0,8,35319
post_layernorm,4,0,8,138191
gate_proj,4,0,8,61885
up_proj,4,0,8,36370
act_fn,4,0,8,6732
down_proj,4,0,8,30206
final_layernorm,4,0,8,69632
lm_head,4,0,8,385908
embedding,5,0,8,64511
input_layernorm,5,0,8,140256
q_proj,5,0,8,60370
k_proj,5,0,8,92313
v_proj,5,0,8,67843
rope,5,0,8,188471
o_proj,5,0,8,35381
post_layernorm,5,0,8,138991
gate_proj,5,0,8,62184
up_proj,5,0,8,36681
act_fn,5,0,8,6732
down_proj,5,0,8,30480
final_layernorm,5,0,8,69056
lm_head,5,0,8,386816
embedding,6,0,8,64511
input_layernorm,6,0,8,140287
q_proj,6,0,8,60510
k_proj,6,0,8,92557
v_proj,6,0,8,67953
rope,6,0,8,187981
o_proj,6,0,8,35567
post_layernorm,6,0,8,138239
gate_proj,6,0,8,62209
up_proj,6,0,8,36681
act_fn,6,0,8,6732
down_proj,6,0,8,30206
final_layernorm,6,0,8,69744
lm_head,6,0,8,387532
embedding,7,0,8,64415
input_layernorm,7,0,8,140816
q_proj,7,0,8,60510
k_proj,7,0,8,92313
v_proj,7,0,8,68000
rope,7,0,8,187981
o_proj,7,0,8,35746
post_layernorm,7,0,8,139264
gate_proj,7,0,8,62241
up_proj,7,0,8,36681
act_fn,7,0,8,6732
down_proj,7,0,8,30480
final_layernorm,7,0,8,70656
lm_head,7,0,8,388309
embedding,8,0,8,64511
input_layernorm,8,0,8,140287
q_proj,8,0,8,59951
k_proj,8,0,8,92313
v_proj,8,0,8,67843
rope,8,0,8,188060
o_proj,8,0,8,35319
post_layernorm,8,0,8,139264
gate_proj,8,0,8,62272
up_proj,8,0,8,36865
act_fn,8,0,8,6732
down_proj,8,0,8,30480
final_layernorm,8,0,8,67664
lm_head,8,0,8,388672
embedding,9,0,8,64511
input_layernorm,9,0,8,141248
q_proj,9,0,8,59941
k_proj,9,0,8,92313
v_proj,9,0,8,67843
rope,9,0,8,188991
o_proj,9,0,8,35319
post_layernorm,9,0,8,138287
gate_proj,9,0,8,62241
up_proj,9,0,8,36686
act_fn,9,0,8,6732
down_proj,9,0,8,30480
final_layernorm,9,0,8,67680
lm_head,9,0,8,389546
embedding,10,0,8,64511
input_layernorm,10,0,8,140303
q_proj,10,0,8,56384
k_proj,10,0,8,91622
v_proj,10,0,8,67469
rope,10,0,8,188550
o_proj,10,0,8,35699
post_layernorm,10,0,8,138319
gate_proj,10,0,8,62608
up_proj,10,0,8,36720
act_fn,10,0,8,6732
down_proj,10,0,8,30480
final_layernorm,10,0,8,67664
lm_head,10,0,8,390500
