layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2432
input_layernorm,1,0,4,13505
q_proj,1,0,4,588
k_proj,1,0,4,3796
v_proj,1,0,4,3771
rope,1,0,4,22735
o_proj,1,0,4,600
post_layernorm,1,0,4,14654
gate_proj,1,0,4,43171
up_proj,1,0,4,43007
act_fn,1,0,4,3856
down_proj,1,0,4,42223
final_layernorm,1,0,4,14145
lm_head,1,0,4,368982
embedding,2,0,4,3296
input_layernorm,2,0,4,17791
q_proj,2,0,4,13267
k_proj,2,0,4,4024
v_proj,2,0,4,3999
rope,2,0,4,29951
o_proj,2,0,4,13196
post_layernorm,2,0,4,19215
gate_proj,2,0,4,43671
up_proj,2,0,4,43607
act_fn,2,0,4,4352
down_proj,2,0,4,42855
final_layernorm,2,0,4,18816
lm_head,2,0,4,371547
embedding,3,0,4,3872
input_layernorm,3,0,4,17727
q_proj,3,0,4,13295
k_proj,3,0,4,4055
v_proj,3,0,4,3983
rope,3,0,4,29887
o_proj,3,0,4,13203
post_layernorm,3,0,4,18975
gate_proj,3,0,4,43663
up_proj,3,0,4,43555
act_fn,3,0,4,4480
down_proj,3,0,4,42959
final_layernorm,3,0,4,18591
lm_head,3,0,4,372119
embedding,4,0,4,4288
input_layernorm,4,0,4,18496
q_proj,4,0,4,13364
k_proj,4,0,4,4032
v_proj,4,0,4,3979
rope,4,0,4,30430
o_proj,4,0,4,13207
post_layernorm,4,0,4,19872
gate_proj,4,0,4,43907
up_proj,4,0,4,43771
act_fn,4,0,4,4528
down_proj,4,0,4,42967
final_layernorm,4,0,4,19489
lm_head,4,0,4,372699
embedding,5,0,4,4928
input_layernorm,5,0,4,18559
q_proj,5,0,4,13395
k_proj,5,0,4,4080
v_proj,5,0,4,3979
rope,5,0,4,30126
o_proj,5,0,4,13263
post_layernorm,5,0,4,19888
gate_proj,5,0,4,43815
up_proj,5,0,4,43699
act_fn,5,0,4,4704
down_proj,5,0,4,43031
final_layernorm,5,0,4,19552
lm_head,5,0,4,373155
embedding,6,0,4,5536
input_layernorm,6,0,4,18687
q_proj,6,0,4,13435
k_proj,6,0,4,4072
v_proj,6,0,4,3999
rope,6,0,4,30463
o_proj,6,0,4,13275
post_layernorm,6,0,4,20192
gate_proj,6,0,4,43807
up_proj,6,0,4,43791
act_fn,6,0,4,4799
down_proj,6,0,4,43019
final_layernorm,6,0,4,19808
lm_head,6,0,4,373587
embedding,7,0,4,6016
input_layernorm,7,0,4,18655
q_proj,7,0,4,13331
k_proj,7,0,4,4059
v_proj,7,0,4,3987
rope,7,0,4,30111
o_proj,7,0,4,13267
post_layernorm,7,0,4,20160
gate_proj,7,0,4,43915
up_proj,7,0,4,43867
act_fn,7,0,4,4768
down_proj,7,0,4,43103
final_layernorm,7,0,4,19760
lm_head,7,0,4,373959
embedding,8,0,4,6496
input_layernorm,8,0,4,20223
q_proj,8,0,4,13347
k_proj,8,0,4,4064
v_proj,8,0,4,4023
rope,8,0,4,30527
o_proj,8,0,4,13280
post_layernorm,8,0,4,21183
gate_proj,8,0,4,44035
up_proj,8,0,4,43879
act_fn,8,0,4,5104
down_proj,8,0,4,43087
final_layernorm,8,0,4,20720
lm_head,8,0,4,374387
embedding,9,0,4,7167
input_layernorm,9,0,4,20383
q_proj,9,0,4,13435
k_proj,9,0,4,4087
v_proj,9,0,4,4000
rope,9,0,4,30174
o_proj,9,0,4,13343
post_layernorm,9,0,4,21568
gate_proj,9,0,4,44535
up_proj,9,0,4,44299
act_fn,9,0,4,5088
down_proj,9,0,4,43123
final_layernorm,9,0,4,21149
lm_head,9,0,4,374799
embedding,10,0,4,7712
input_layernorm,10,0,4,20415
q_proj,10,0,4,13451
k_proj,10,0,4,4080
v_proj,10,0,4,3999
rope,10,0,4,30431
o_proj,10,0,4,13328
post_layernorm,10,0,4,21664
gate_proj,10,0,4,44527
up_proj,10,0,4,44251
act_fn,10,0,4,5152
down_proj,10,0,4,43235
final_layernorm,10,0,4,21183
lm_head,10,0,4,375263
