layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2545
input_layernorm,1,0,4,7685
q_proj,1,0,4,14863
k_proj,1,0,4,4888
v_proj,1,0,4,4680
rope,1,0,4,15703
attn,1,0,4,3089
o_proj,1,0,4,13688
post_layernorm,1,0,4,8037
gate,1,0,4,51463
expert.w1,1,0,4,12293
expert.w3,1,0,4,12191
act_fn,1,0,4,3706
expert.w2,1,0,4,13724
final_layernorm,1,0,4,7997
lm_head,1,0,4,90752
embedding,2,0,4,3008
input_layernorm,2,0,4,7408
q_proj,2,0,4,16649
k_proj,2,0,4,6520
v_proj,2,0,4,6029
rope,2,0,4,18095
attn,2,0,4,2799
o_proj,2,0,4,13352
post_layernorm,2,0,4,7724
gate,2,0,4,66051
expert.w1,2,0,4,16540
expert.w3,2,0,4,16342
act_fn,2,0,4,4084
expert.w2,2,0,4,12861
final_layernorm,2,0,4,7602
lm_head,2,0,4,91080
embedding,3,0,4,3617
input_layernorm,3,0,4,7494
q_proj,3,0,4,16862
k_proj,3,0,4,6639
v_proj,3,0,4,6156
rope,3,0,4,19454
attn,3,0,4,2893
o_proj,3,0,4,13468
post_layernorm,3,0,4,7842
gate,3,0,4,68811
expert.w1,3,0,4,16757
expert.w3,3,0,4,16804
act_fn,3,0,4,4190
expert.w2,3,0,4,13089
final_layernorm,3,0,4,7715
lm_head,3,0,4,91412
embedding,4,0,4,4022
input_layernorm,4,0,4,7500
q_proj,4,0,4,16880
k_proj,4,0,4,6644
v_proj,4,0,4,6167
rope,4,0,4,20156
attn,4,0,4,2892
o_proj,4,0,4,13404
post_layernorm,4,0,4,7860
gate,4,0,4,67853
expert.w1,4,0,4,16826
expert.w3,4,0,4,16713
act_fn,4,0,4,4080
expert.w2,4,0,4,13043
final_layernorm,4,0,4,7712
lm_head,4,0,4,91409
embedding,5,0,4,4605
input_layernorm,5,0,4,7309
q_proj,5,0,4,16749
k_proj,5,0,4,6530
v_proj,5,0,4,6078
rope,5,0,4,19600
attn,5,0,4,2813
o_proj,5,0,4,13395
post_layernorm,5,0,4,7665
gate,5,0,4,66614
expert.w1,5,0,4,16644
expert.w3,5,0,4,16393
act_fn,5,0,4,3800
expert.w2,5,0,4,12937
final_layernorm,5,0,4,7527
lm_head,5,0,4,91207
embedding,6,0,4,5197
input_layernorm,6,0,4,7556
q_proj,6,0,4,16989
k_proj,6,0,4,6655
v_proj,6,0,4,6188
rope,6,0,4,20256
attn,6,0,4,2910
o_proj,6,0,4,13537
post_layernorm,6,0,4,7902
gate,6,0,4,68036
expert.w1,6,0,4,16919
expert.w3,6,0,4,16691
act_fn,6,0,4,3963
expert.w2,6,0,4,13059
final_layernorm,6,0,4,7762
lm_head,6,0,4,91472
embedding,7,0,4,5764
input_layernorm,7,0,4,7603
q_proj,7,0,4,17040
k_proj,7,0,4,6660
v_proj,7,0,4,6192
rope,7,0,4,20196
attn,7,0,4,2910
o_proj,7,0,4,13621
post_layernorm,7,0,4,7924
gate,7,0,4,68817
expert.w1,7,0,4,16952
expert.w3,7,0,4,16637
act_fn,7,0,4,3997
expert.w2,7,0,4,13091
final_layernorm,7,0,4,7787
lm_head,7,0,4,91553
