layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,2,68436
input_layernorm,1,0,2,1
q_proj,1,0,2,1
k_proj,1,0,2,1
v_proj,1,0,2,1
rope,1,0,2,1
attn,1,0,2,1
o_proj,1,0,2,1
post_layernorm,1,0,2,1
gate_proj,1,0,2,184884
up_proj,1,0,2,1
act_fn,1,0,2,1
down_proj,1,0,2,1
final_layernorm,1,0,2,9352
lm_head,1,0,2,379788
embedding,2,0,2,68672
input_layernorm,2,0,2,1
q_proj,2,0,2,1
k_proj,2,0,2,1
v_proj,2,0,2,1
rope,2,0,2,1
attn,2,0,2,1
o_proj,2,0,2,1
post_layernorm,2,0,2,1
gate_proj,2,0,2,185215
up_proj,2,0,2,1
act_fn,2,0,2,1
down_proj,2,0,2,1
final_layernorm,2,0,2,9368
lm_head,2,0,2,380422
embedding,3,0,2,68909
input_layernorm,3,0,2,1
q_proj,3,0,2,1
k_proj,3,0,2,1
v_proj,3,0,2,1
rope,3,0,2,1
attn,3,0,2,1
o_proj,3,0,2,1
post_layernorm,3,0,2,1
gate_proj,3,0,2,185545
up_proj,3,0,2,1
act_fn,3,0,2,1
down_proj,3,0,2,1
final_layernorm,3,0,2,9383
lm_head,3,0,2,381056
embedding,4,0,2,69145
input_layernorm,4,0,2,1
q_proj,4,0,2,1
k_proj,4,0,2,1
v_proj,4,0,2,1
rope,4,0,2,1
attn,4,0,2,1
o_proj,4,0,2,1
post_layernorm,4,0,2,1
gate_proj,4,0,2,185876
up_proj,4,0,2,1
act_fn,4,0,2,1
down_proj,4,0,2,1
final_layernorm,4,0,2,9399
lm_head,4,0,2,381688
embedding,5,0,2,69381
input_layernorm,5,0,2,1
q_proj,5,0,2,1
k_proj,5,0,2,1
v_proj,5,0,2,1
rope,5,0,2,1
attn,5,0,2,1
o_proj,5,0,2,1
post_layernorm,5,0,2,1
gate_proj,5,0,2,186206
up_proj,5,0,2,1
act_fn,5,0,2,1
down_proj,5,0,2,1
final_layernorm,5,0,2,9415
lm_head,5,0,2,382322
embedding,6,0,2,69618
input_layernorm,6,0,2,1
q_proj,6,0,2,1
k_proj,6,0,2,1
v_proj,6,0,2,1
rope,6,0,2,1
attn,6,0,2,1
o_proj,6,0,2,1
post_layernorm,6,0,2,1
gate_proj,6,0,2,186536
up_proj,6,0,2,1
act_fn,6,0,2,1
down_proj,6,0,2,1
final_layernorm,6,0,2,9430
lm_head,6,0,2,382955
embedding,7,0,2,69854
input_layernorm,7,0,2,1
q_proj,7,0,2,1
k_proj,7,0,2,1
v_proj,7,0,2,1
rope,7,0,2,1
attn,7,0,2,1
o_proj,7,0,2,1
post_layernorm,7,0,2,1
gate_proj,7,0,2,186867
up_proj,7,0,2,1
act_fn,7,0,2,1
down_proj,7,0,2,1
final_layernorm,7,0,2,9446
lm_head,7,0,2,383589
embedding,8,0,2,70090
input_layernorm,8,0,2,1
q_proj,8,0,2,1
k_proj,8,0,2,1
v_proj,8,0,2,1
rope,8,0,2,1
attn,8,0,2,1
o_proj,8,0,2,1
post_layernorm,8,0,2,1
gate_proj,8,0,2,187197
up_proj,8,0,2,1
act_fn,8,0,2,1
down_proj,8,0,2,1
final_layernorm,8,0,2,9461
lm_head,8,0,2,384222
embedding,9,0,2,70327
input_layernorm,9,0,2,1
q_proj,9,0,2,1
k_proj,9,0,2,1
v_proj,9,0,2,1
rope,9,0,2,1
attn,9,0,2,1
o_proj,9,0,2,1
post_layernorm,9,0,2,1
gate_proj,9,0,2,187528
up_proj,9,0,2,1
act_fn,9,0,2,1
down_proj,9,0,2,1
final_layernorm,9,0,2,9477
lm_head,9,0,2,384855
embedding,10,0,2,70563
input_layernorm,10,0,2,1
q_proj,10,0,2,1
k_proj,10,0,2,1
v_proj,10,0,2,1
rope,10,0,2,1
attn,10,0,2,1
o_proj,10,0,2,1
post_layernorm,10,0,2,1
gate_proj,10,0,2,187858
up_proj,10,0,2,1
act_fn,10,0,2,1
down_proj,10,0,2,1
final_layernorm,10,0,2,9493
lm_head,10,0,2,385489
embedding,11,0,2,70799
input_layernorm,11,0,2,1
q_proj,11,0,2,1
k_proj,11,0,2,1
v_proj,11,0,2,1
rope,11,0,2,1
attn,11,0,2,1
o_proj,11,0,2,1
post_layernorm,11,0,2,1
gate_proj,11,0,2,188188
up_proj,11,0,2,1
act_fn,11,0,2,1
down_proj,11,0,2,1
final_layernorm,11,0,2,9508
lm_head,11,0,2,386123
embedding,12,0,2,71036
input_layernorm,12,0,2,1
q_proj,12,0,2,1
k_proj,12,0,2,1
v_proj,12,0,2,1
rope,12,0,2,1
