layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,8,2894
input_layernorm,1,0,8,18536
q_proj,1,0,8,9264
k_proj,1,0,8,2905
v_proj,1,0,8,2713
rope,1,0,8,9073
attn,1,0,8,2850
o_proj,1,0,8,7448
post_layernorm,1,0,8,19358
gate_proj,1,0,8,24100
up_proj,1,0,8,23960
act_fn,1,0,8,1191
down_proj,1,0,8,24593
final_layernorm,1,0,8,18998
lm_head,1,0,8,197167
embedding,2,0,8,3440
input_layernorm,2,0,8,21027
q_proj,2,0,8,11973
k_proj,2,0,8,4785
v_proj,2,0,8,4601
rope,2,0,8,10553
attn,2,0,8,2751
o_proj,2,0,8,7327
post_layernorm,2,0,8,22020
gate_proj,2,0,8,25759
up_proj,2,0,8,25738
act_fn,2,0,8,1307
down_proj,2,0,8,24890
final_layernorm,2,0,8,21656
lm_head,2,0,8,197561
embedding,3,0,8,3952
input_layernorm,3,0,8,20982
q_proj,3,0,8,11982
k_proj,3,0,8,4792
v_proj,3,0,8,4619
rope,3,0,8,10574
attn,3,0,8,2752
o_proj,3,0,8,7358
post_layernorm,3,0,8,22048
gate_proj,3,0,8,25753
up_proj,3,0,8,25785
act_fn,3,0,8,1307
down_proj,3,0,8,24881
final_layernorm,3,0,8,21645
lm_head,3,0,8,198099
embedding,4,0,8,4521
input_layernorm,4,0,8,21786
q_proj,4,0,8,11988
k_proj,4,0,8,4797
v_proj,4,0,8,4616
rope,4,0,8,10827
attn,4,0,8,2752
o_proj,4,0,8,7338
post_layernorm,4,0,8,22917
gate_proj,4,0,8,25829
up_proj,4,0,8,25814
act_fn,4,0,8,1320
down_proj,4,0,8,24980
final_layernorm,4,0,8,22653
lm_head,4,0,8,198460
embedding,5,0,8,5187
input_layernorm,5,0,8,21771
q_proj,5,0,8,11982
k_proj,5,0,8,4800
v_proj,5,0,8,4622
rope,5,0,8,10619
attn,5,0,8,2760
o_proj,5,0,8,7373
post_layernorm,5,0,8,22894
gate_proj,5,0,8,25940
up_proj,5,0,8,25853
act_fn,5,0,8,1330
down_proj,5,0,8,24959
final_layernorm,5,0,8,22582
lm_head,5,0,8,198927
embedding,6,0,8,5770
input_layernorm,6,0,8,21916
q_proj,6,0,8,11993
k_proj,6,0,8,4811
v_proj,6,0,8,4619
rope,6,0,8,10734
attn,6,0,8,2761
o_proj,6,0,8,7373
post_layernorm,6,0,8,22888
gate_proj,6,0,8,30668
up_proj,6,0,8,30719
act_fn,6,0,8,1343
down_proj,6,0,8,25045
final_layernorm,6,0,8,22306
lm_head,6,0,8,199350
embedding,7,0,8,6265
input_layernorm,7,0,8,21956
q_proj,7,0,8,12026
k_proj,7,0,8,4811
v_proj,7,0,8,4631
rope,7,0,8,10686
attn,7,0,8,2765
o_proj,7,0,8,7406
post_layernorm,7,0,8,22948
gate_proj,7,0,8,30694
up_proj,7,0,8,30682
act_fn,7,0,8,1371
down_proj,7,0,8,24956
final_layernorm,7,0,8,22356
lm_head,7,0,8,199510
embedding,8,0,8,6821
input_layernorm,8,0,8,23531
q_proj,8,0,8,12044
k_proj,8,0,8,4838
v_proj,8,0,8,4622
rope,8,0,8,10810
attn,8,0,8,2765
o_proj,8,0,8,7425
post_layernorm,8,0,8,24212
gate_proj,8,0,8,30664
up_proj,8,0,8,30687
act_fn,8,0,8,1385
down_proj,8,0,8,25088
final_layernorm,8,0,8,23553
lm_head,8,0,8,199666
embedding,9,0,8,7501
input_layernorm,9,0,8,23632
q_proj,9,0,8,12055
k_proj,9,0,8,4822
v_proj,9,0,8,4637
rope,9,0,8,10662
attn,9,0,8,2765
o_proj,9,0,8,7464
post_layernorm,9,0,8,24609
gate_proj,9,0,8,30718
up_proj,9,0,8,30697
act_fn,9,0,8,1398
down_proj,9,0,8,24988
final_layernorm,9,0,8,23962
lm_head,9,0,8,200216
embedding,10,0,8,8138
input_layernorm,10,0,8,23771
q_proj,10,0,8,14504
k_proj,10,0,8,4850
v_proj,10,0,8,4637
rope,10,0,8,10729
attn,10,0,8,2758
o_proj,10,0,8,7446
post_layernorm,10,0,8,24637
gate_proj,10,0,8,30717
up_proj,10,0,8,30767
act_fn,10,0,8,1399
down_proj,10,0,8,24984
final_layernorm,10,0,8,24037
lm_head,10,0,8,200775
embedding,11,0,8,8614
input_layernorm,11,0,8,23805
q_proj,11,0,8,14507
k_proj,11,0,8,4842
v_proj,11,0,8,4638
rope,11,0,8,10699
attn,11,0,8,2763
o_proj,11,0,8,7446
post_layernorm,11,0,8,24755
gate_proj,11,0,8,30828
up_proj,11,0,8,30770
act_fn,11,0,8,1444
down_proj,11,0,8,24965
final_layernorm,11,0,8,24165
lm_head,11,0,8,201253
embedding,12,0,8,9179
input_layernorm,12,0,8,24136
q_proj,12,0,8,14523
k_proj,12,0,8,4834
v_proj,12,0,8,4648
rope,12,0,8,10871
attn,12,0,8,2761
o_proj,12,0,8,7462
post_layernorm,12,0,8,24748
gate_proj,12,0,8,30805
up_proj,12,0,8,30802
act_fn,12,0,8,1441
down_proj,12,0,8,25013
final_layernorm,12,0,8,24153
lm_head,12,0,8,201742
embedding,13,0,8,9863
input_layernorm,13,0,8,23943
q_proj,13,0,8,14512
k_proj,13,0,8,4869
v_proj,13,0,8,4654
rope,13,0,8,10717
attn,13,0,8,2777
o_proj,13,0,8,7438
post_layernorm,13,0,8,24883
gate_proj,13,0,8,30864
up_proj,13,0,8,30776
act_fn,13,0,8,1465
down_proj,13,0,8,25122
