layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2622
input_layernorm,1,0,4,8022
q_proj,1,0,4,12461
k_proj,1,0,4,4100
v_proj,1,0,4,4070
rope,1,0,4,17068
o_proj,1,0,4,11892
post_layernorm,1,0,4,8353
gate,1,0,4,56858
expert.w1,1,0,4,11528
expert.w3,1,0,4,11488
act_fn,1,0,4,3994
expert.w2,1,0,4,14410
final_layernorm,1,0,4,8280
lm_head,1,0,4,81877
embedding,2,0,4,3151
input_layernorm,2,0,4,7839
q_proj,2,0,4,23035
k_proj,2,0,4,6457
v_proj,2,0,4,6052
rope,2,0,4,20578
o_proj,2,0,4,13181
post_layernorm,2,0,4,8136
gate,2,0,4,76172
expert.w1,2,0,4,21288
expert.w3,2,0,4,21456
act_fn,2,0,4,4443
expert.w2,2,0,4,12256
final_layernorm,2,0,4,7926
lm_head,2,0,4,79366
embedding,3,0,4,3674
input_layernorm,3,0,4,7855
q_proj,3,0,4,23041
k_proj,3,0,4,6464
v_proj,3,0,4,6095
rope,3,0,4,21567
o_proj,3,0,4,13336
post_layernorm,3,0,4,8136
gate,3,0,4,76327
expert.w1,3,0,4,21282
expert.w3,3,0,4,21479
act_fn,3,0,4,4436
expert.w2,3,0,4,12254
final_layernorm,3,0,4,7940
lm_head,3,0,4,79384
embedding,4,0,4,4143
input_layernorm,4,0,4,7850
q_proj,4,0,4,23050
k_proj,4,0,4,6486
v_proj,4,0,4,6105
rope,4,0,4,22283
o_proj,4,0,4,13181
post_layernorm,4,0,4,8166
gate,4,0,4,75616
expert.w1,4,0,4,21314
expert.w3,4,0,4,21483
act_fn,4,0,4,4347
expert.w2,4,0,4,12330
final_layernorm,4,0,4,7960
lm_head,4,0,4,79468
embedding,5,0,4,4891
input_layernorm,5,0,4,7905
q_proj,5,0,4,23035
k_proj,5,0,4,6496
v_proj,5,0,4,6143
rope,5,0,4,22304
o_proj,5,0,4,13287
post_layernorm,5,0,4,8206
gate,5,0,4,76493
expert.w1,5,0,4,21306
expert.w3,5,0,4,21515
act_fn,5,0,4,4402
expert.w2,5,0,4,12354
final_layernorm,5,0,4,8078
lm_head,5,0,4,79587
embedding,6,0,4,5297
input_layernorm,6,0,4,7886
q_proj,6,0,4,23054
k_proj,6,0,4,6489
v_proj,6,0,4,6170
rope,6,0,4,22366
o_proj,6,0,4,13337
post_layernorm,6,0,4,8230
gate,6,0,4,75804
expert.w1,6,0,4,21277
expert.w3,6,0,4,21522
act_fn,6,0,4,4286
expert.w2,6,0,4,12364
final_layernorm,6,0,4,7867
lm_head,6,0,4,79678
embedding,7,0,4,5864
input_layernorm,7,0,4,7935
q_proj,7,0,4,23054
k_proj,7,0,4,6494
v_proj,7,0,4,6201
rope,7,0,4,22300
o_proj,7,0,4,13339
post_layernorm,7,0,4,8238
gate,7,0,4,76718
expert.w1,7,0,4,21304
expert.w3,7,0,4,21509
act_fn,7,0,4,4155
expert.w2,7,0,4,12385
final_layernorm,7,0,4,8029
lm_head,7,0,4,79722
embedding,8,0,4,6335
input_layernorm,8,0,4,7954
q_proj,8,0,4,23055
k_proj,8,0,4,6531
v_proj,8,0,4,6185
rope,8,0,4,22253
o_proj,8,0,4,13441
post_layernorm,8,0,4,8247
gate,8,0,4,75993
expert.w1,8,0,4,21304
expert.w3,8,0,4,21500
act_fn,8,0,4,4112
expert.w2,8,0,4,12343
final_layernorm,8,0,4,8105
lm_head,8,0,4,79668
embedding,9,0,4,7084
input_layernorm,9,0,4,7843
q_proj,9,0,4,23042
k_proj,9,0,4,6552
v_proj,9,0,4,6229
rope,9,0,4,22357
o_proj,9,0,4,13305
post_layernorm,9,0,4,8149
gate,9,0,4,78677
expert.w1,9,0,4,21360
expert.w3,9,0,4,21526
act_fn,9,0,4,3990
expert.w2,9,0,4,12403
final_layernorm,9,0,4,8002
lm_head,9,0,4,79803
embedding,10,0,4,7500
input_layernorm,10,0,4,7838
q_proj,10,0,4,23052
k_proj,10,0,4,6519
v_proj,10,0,4,6239
rope,10,0,4,22336
o_proj,10,0,4,13372
post_layernorm,10,0,4,8141
gate,10,0,4,77800
expert.w1,10,0,4,21345
expert.w3,10,0,4,21537
act_fn,10,0,4,3965
