instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-70B,25,57,0,2741999040,2741999040,1,91334430,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,1,meta-llama/Llama-3.1-70B,19,51,15000000000,17742683487,2742683487,999040,92018877,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,2,meta-llama/Llama-3.1-70B,91,123,30000000000,32745421439,2745421439,683487,95485949,85481790,"[85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790]"
0,3,meta-llama/Llama-3.1-70B,23,55,45000000000,47742315454,2742315454,421439,91650844,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,4,meta-llama/Llama-3.1-70B,412,444,60000000000,62760772483,2760772483,315454,111920753,85446830,"[85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830, 85446830]"
0,5,meta-llama/Llama-3.1-70B,8,40,75000000000,77740869602,2740869602,772483,90204992,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,6,meta-llama/Llama-3.1-70B,21,53,90000000000,92742659073,2742659073,869602,91994463,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,7,meta-llama/Llama-3.1-70B,50,82,105000000000,107743577552,2743577552,659073,93312782,85492411,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790, 85481790]"
0,8,meta-llama/Llama-3.1-70B,12,44,120000000000,122741895215,2741895215,577552,91230605,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,9,meta-llama/Llama-3.1-70B,21,53,135000000000,137742684686,2742684686,895215,92020076,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
0,10,meta-llama/Llama-3.1-70B,6,38,150000000000,152740625183,2740625183,684686,89960573,85505310,"[85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310, 85505310]"
