instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,35,meta-llama/Llama-3.1-70B,1,10,3336021694,5011490536,1675468842,93311321,248695146,178346712,"[198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005]"
0,48,meta-llama/Llama-3.1-70B,17,22,4209283457,5158584694,949301237,163500892,314949036,158588050,"[141082654, 177945384, 168230005, 147094158]"
0,25,meta-llama/Llama-3.1-70B,4,28,2228417547,6379893813,4151476266,95890542,253485199,169477872,"[146962430, 170447317, 140232862, 147806927, 140285038, 201695695, 155383825, 198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138]"
0,61,meta-llama/Llama-3.1-70B,347,353,5735930675,6849941003,1114010328,43293863,274873471,167827371,"[183971529, 185118138, 179982152, 141976511, 148088527]"
0,8,meta-llama/Llama-3.1-70B,12,52,903845068,7516569101,6612724033,6922604,154828780,165587057,"[146183230, 139063630, 139063630, 146479006, 177619367, 168644853, 189100891, 159479634, 157594657, 146962430, 170447317, 140232862, 147806927, 140285038, 201695695, 155383825, 198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999]"
0,11,meta-llama/Llama-3.1-70B,31,68,1379405751,7692150100,6312744349,103578587,250057593,168407965,"[177619367, 168644853, 189100891, 159479634, 157594657, 146962430, 170447317, 140232862, 147806927, 140285038, 201695695, 155383825, 198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999]"
0,43,meta-llama/Llama-3.1-70B,1081,1103,3880823975,7692150100,3811326125,99342092,310126029,166723814,"[181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999]"
0,28,meta-llama/Llama-3.1-70B,7,43,2412644520,8518164566,6105520046,69258226,216220656,168265696,"[170447317, 140232862, 147806927, 140285038, 201695695, 155383825, 198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999, 162190243, 167935252, 192428508, 150959999, 152500464]"
0,90,meta-llama/Llama-3.1-70B,137,149,8437928393,10441088394,2003160001,80236173,250905330,159295879,"[160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767]"
0,34,meta-llama/Llama-3.1-70B,1065,1110,3170788537,10729250856,7558462319,56848783,258544478,165907223,"[155383825, 198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999, 162190243, 167935252, 192428508, 150959999, 152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231]"
0,86,meta-llama/Llama-3.1-70B,24,48,8041570415,11881034656,3839464241,173133688,324093687,152842198,"[152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975]"
0,42,meta-llama/Llama-3.1-70B,635,686,3640781687,12024870415,8384088728,142065455,339384380,160894086,"[210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999, 162190243, 167935252, 192428508, 150959999, 152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143835759]"
0,49,meta-llama/Llama-3.1-70B,73,123,4229722316,12312430861,8082708545,143062033,294510177,158942823,"[141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999, 162190243, 167935252, 192428508, 150959999, 152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143835759, 143780223, 143780223]"
0,78,meta-llama/Llama-3.1-70B,29,73,7478655809,14180872432,6702216623,37913292,213494291,150900519,"[162190243, 167935252, 192428508, 150959999, 152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143835759, 143780223, 143780223, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143728047, 143728047, 143728047, 143728047, 143728047]"
0,36,meta-llama/Llama-3.1-70B,134,205,3372350479,14611820605,11239470126,56982536,212366361,157530053,"[198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999, 162190243, 167935252, 192428508, 150959999, 152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143835759, 143780223, 143780223, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143728047, 143728047, 143728047, 143728047, 143728047, 143649391, 143649391, 143649391]"
0,26,meta-llama/Llama-3.1-70B,192,275,2250691133,15329691480,13079000347,73616956,231211613,156680350,"[146962430, 170447317, 140232862, 147806927, 140285038, 201695695, 155383825, 198130302, 197318925, 210783937, 181834345, 151448144, 141082654, 177945384, 168230005, 147094158, 141139070, 150843311, 163368675, 165288788, 231579608, 183971529, 185118138, 179982152, 141976511, 148088527, 148140943, 158269650, 211613506, 148603999, 175580999, 162190243, 167935252, 192428508, 150959999, 152500464, 170669157, 160407746, 200699310, 154601376, 227560870, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144140767, 144081231, 144081231, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143972975, 143835759, 143780223, 143780223, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143725167, 143728047, 143728047, 143728047, 143728047, 143728047, 143649391, 143649391, 143649391, 143574175, 143574175, 143574175, 143574175, 143574175]"
